"SU?I?TE", "STE"
"(?:AP)(?:AR)?T(?:ME?NT)?", "APT"
"(?:DEP)(?:AR)?T(?:ME?NT)?", "DEPT"
"RO*M", "RM"
"FLO*R?", "FL"
"UNI?T", "UNIT"
"BU?I?LDI?N?G", "BLDG"
"HA?NGA?R", "HNGR"
"KEY", "KEY"
"LO?T", "LOT"
"PIER", "PIER"
"SLIP", "SLIP"
"SPA?CE?", "SPACE"
"STOP", "STOP"
"TRA?I?LE?R", "TRLR"
"BOX", "BOX"
